Time,North Cars,South Cars,East Cars,West Cars,North Light,South Light,East Light,West Light,North Action,South Action,East Action,West Action
08:45:23,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:24,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:25,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:26,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:27,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:28,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:29,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:30,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:31,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:32,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:33,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:34,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:37,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:38,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:39,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:40,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:41,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:07,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:08,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:09,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:10,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:11,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:12,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:13,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:14,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:49:15,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
