tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
3098.00;757228687#0_0;63.17;12.62;848.00;0.00;-488232992#1_0;5.10;0.00;tripinfo_848;2250.00;848;0;1433.59;0.97;0.00;2073.26;DEFAULT_VEHTYPE;;12;1968.00
3099.00;-488232986#4_0;75.16;16.02;116.00;0.00;-488432648#3_0;5.10;0.00;tripinfo_116;2983.00;116;0;1211.52;1.18;0.00;2927.74;DEFAULT_VEHTYPE;;16;2790.00
3109.00;-488451891#0_0;14.60;8.79;187.00;0.00;488232984#6_0;5.10;0.00;tripinfo_187;2922.00;187;0;1736.92;0.89;0.00;2822.85;DEFAULT_VEHTYPE;;14;2646.00
3109.00;-488451880#1_0;2.40;5.23;997.00;0.00;-488429014#1_0;5.10;0.00;tripinfo_997;2112.00;997;0;618.14;1.17;0.00;1971.50;DEFAULT_VEHTYPE;;10;1921.00
3111.00;-488232989#4_0;38.80;7.55;231.00;0.00;1247986824_0;5.10;0.00;tripinfo_231;2880.00;231;0;1196.41;1.14;0.00;2822.77;DEFAULT_VEHTYPE;;17;2677.00
3112.00;-488451880#3_0;5.99;4.32;581.00;0.00;-1106761240#0_0;5.10;0.00;tripinfo_581;2531.00;581;0;990.74;0.98;0.00;2453.77;DEFAULT_VEHTYPE;;13;2375.00
3113.00;-488451880#1_0;2.40;4.19;189.00;0.00;488235612#13_0;5.10;0.00;tripinfo_189;2924.00;189;0;1516.17;0.97;0.00;2690.32;DEFAULT_VEHTYPE;;20;2539.00
3114.00;488439366#0_0;73.57;14.36;294.00;0.00;-488429009#1_0;5.10;0.00;tripinfo_294;2820.00;294;0;773.05;1.05;0.00;2775.75;DEFAULT_VEHTYPE;;14;2581.00
3117.00;717497185_0;51.81;12.52;103.00;0.00;-488453907#5_0;0.20;0.00;tripinfo_103;3014.00;103;0;2559.42;0.95;0.00;2871.18;DEFAULT_VEHTYPE;;16;2684.00
3119.00;-488232992#1_0;38.62;13.40;470.00;0.00;489221518#0_0;5.10;0.00;tripinfo_470;2649.00;470;0;2436.64;1.04;0.00;2191.56;DEFAULT_VEHTYPE;;17;2061.00
3120.00;488232984#6_0;258.42;29.46;300.00;0.00;488232989#0_0;5.10;0.00;tripinfo_300;2820.00;300;0;965.80;1.07;0.00;2767.71;DEFAULT_VEHTYPE;;20;2632.00
3124.00;-1195571202#1_0;179.41;13.23;1030.00;44.00;-374433106#0_0;0.20;0.00;tripinfo_986;2094.00;986;0;1135.68;1.01;0.00;1826.87;DEFAULT_VEHTYPE;;6;1769.00
3129.00;-488229186#1_0;398.58;13.44;705.00;172.00;374433106#1_0;0.20;0.00;tripinfo_533;2424.00;533;0;1577.95;0.99;0.00;1976.64;DEFAULT_VEHTYPE;;11;1888.00
3140.00;-488232986#2_0;51.11;12.44;329.00;0.00;757228687#0_0;5.10;0.00;tripinfo_329;2811.00;329;0;941.68;0.90;0.00;2750.53;DEFAULT_VEHTYPE;;16;2558.00
3141.00;-489205468#0_0;141.63;13.87;669.00;0.00;488440840#2_0;5.10;0.00;tripinfo_669;2472.00;669;0;973.28;1.00;0.00;2400.63;DEFAULT_VEHTYPE;;13;2319.00
3153.00;717045285#0_0;40.47;5.48;159.00;0.00;488451880#0_0;5.10;0.00;tripinfo_159;2994.00;159;0;1422.11;1.14;0.00;2930.27;DEFAULT_VEHTYPE;;19;2757.00
3153.00;488235612#1_0;0.20;4.95;380.00;0.00;-501076683#1_0;5.10;0.00;tripinfo_380;2773.00;380;0;1277.11;0.85;0.00;2698.89;DEFAULT_VEHTYPE;;14;2516.00
3157.00;-488232989#4_0;38.80;11.93;674.00;0.00;488432666_0;5.10;0.00;tripinfo_674;2483.00;674;0;1847.43;0.89;0.00;1617.89;DEFAULT_VEHTYPE;;10;1541.00
3158.00;488232997#2_0;167.56;12.31;497.00;0.00;-1268087985_0;5.10;0.00;tripinfo_497;2661.00;497;0;1938.74;0.93;0.00;2532.26;DEFAULT_VEHTYPE;;11;2437.00
3160.00;488232982#1_0;75.21;12.68;326.00;0.00;-1245514763_0;5.10;0.00;tripinfo_326;2834.00;326;0;1643.08;0.93;0.00;2746.66;DEFAULT_VEHTYPE;;16;2549.00
3161.00;488232982#1_0;75.21;12.47;209.00;0.00;-489218279#0_0;5.10;0.00;tripinfo_209;2952.00;209;0;2794.66;0.98;0.00;2800.90;DEFAULT_VEHTYPE;;18;2571.00
3162.00;1248752988_0;44.73;14.16;76.00;0.00;-501076683#1_0;5.10;0.00;tripinfo_76;3086.00;76;0;1616.98;1.03;0.00;2998.42;DEFAULT_VEHTYPE;;17;2867.00
3163.00;-488229186#3_0;52.28;15.98;314.00;0.00;-488439367#3_0;5.10;0.00;tripinfo_314;2849.00;314;0;1253.42;1.21;0.00;2798.36;DEFAULT_VEHTYPE;;15;2593.00
3165.00;-488232988#0_0;3.28;8.12;69.00;0.00;488432649#0_0;5.10;0.00;tripinfo_69;3096.00;69;0;1916.12;1.02;0.00;3001.86;DEFAULT_VEHTYPE;;18;2787.00
3169.00;488229186#5_0;3.52;7.35;345.00;0.00;488432660#13_0;3.43;0.00;tripinfo_345;2824.00;345;0;2577.32;0.94;0.00;2702.49;DEFAULT_VEHTYPE;;13;2500.00
3170.00;488232991_0;158.60;14.76;193.00;0.00;489205470#0_0;5.10;0.00;tripinfo_193;2977.00;193;0;2543.42;1.07;0.00;2849.86;DEFAULT_VEHTYPE;;16;2630.00
3172.00;-374433111#3_0;13.63;18.82;461.00;0.00;488238448#1_0;5.10;0.00;tripinfo_461;2711.00;461;0;1093.68;0.92;0.00;2642.16;DEFAULT_VEHTYPE;;12;2528.00
3173.00;864646686_0;268.18;16.81;402.00;4.00;374433101#10_0;5.10;0.00;tripinfo_398;2771.00;398;0;1270.94;1.26;0.00;2719.11;DEFAULT_VEHTYPE;;13;2519.00
3177.00;-488440840#4_0;31.71;12.49;95.00;0.00;-489221515#0_0;5.10;0.00;tripinfo_95;3082.00;95;0;1604.97;1.06;0.00;2967.98;DEFAULT_VEHTYPE;;17;2831.00
3180.00;488232984#2_0;2.30;4.99;251.00;0.00;-1195548637_0;5.10;0.00;tripinfo_251;2929.00;251;0;1738.78;0.88;0.00;2821.58;DEFAULT_VEHTYPE;;18;2583.00
3181.00;488232992#1_0;38.60;12.58;246.00;0.00;-488451881#1_0;0.20;0.00;tripinfo_246;2935.00;246;0;1944.15;0.97;0.00;2828.54;DEFAULT_VEHTYPE;;15;2626.00
3181.00;488444641#0_0;43.31;13.36;791.00;0.00;488451891#0_0;5.10;0.00;tripinfo_791;2390.00;791;0;568.01;1.04;0.00;2351.99;DEFAULT_VEHTYPE;;12;2274.00
3183.00;488445471#0_0;71.11;18.45;217.00;0.00;-488432657_0;5.10;0.00;tripinfo_217;2966.00;217;0;1573.73;1.07;0.00;2635.37;DEFAULT_VEHTYPE;;17;2476.00
3185.00;-488232985#7_0;130.68;12.57;175.00;0.00;489205468#1_0;5.10;0.00;tripinfo_175;3010.00;175;0;2418.42;0.92;0.00;2866.85;DEFAULT_VEHTYPE;;15;2671.00
3186.00;-488238449#0_0;113.22;13.87;176.00;0.00;489222063_0;5.10;0.00;tripinfo_176;3010.00;176;0;2473.43;1.09;0.00;2892.54;DEFAULT_VEHTYPE;;17;2664.00
3186.00;488229186#8_0;411.52;14.02;713.00;0.00;488238448#1_0;5.10;0.00;tripinfo_713;2473.00;713;0;1225.85;1.08;0.00;2411.44;DEFAULT_VEHTYPE;;13;2309.00
